date;text,,,,,,,,,,,,,
"2018-09-14 19:43;""@ reedhastings Hi Reed"," a seed from the @ Lumikiaspic.twitter.com/vGW8k6IEUm""",,,,,,,,,,,,
"2018-09-14 18:43;""Outliers in the mix include @ GoldmanSachs & @ GileadSciences at closer to 3%. Would be great to see a Corporate Giving Pledge initiative by 2020. cc: @ BillGates @ melindagates @ JeffBezos @ reedhastings @ tim_cook @ richardbranson @ Facebook @ Amazon @ Apple @ Netflix @ Google""",,,,,,,,,,,,,
"2018-09-14 18:00;""Thank you everyone who tweeted with us today"," I hope we see you all again tomorrow! # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/LhdByCRNkZ""",,,,,,,,,,,,
"2018-09-14 17:57;""Honestly I was so happy when Fish killed him lol he was annoying # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/IeasWNr2kE""",,,,,,,,,,,,,
"2018-09-14 17:53;""Lol I was thinking the same thing. Bruce is growing up and he's 17.pic.twitter.com/hqgMMUAiDy""",,,,,,,,,,,,,
"2018-09-14 17:44;""It was quite entertaining # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham""",,,,,,,,,,,,,
"2018-09-14 17:42;""# SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham https://twitter.com/KateOCosplay/status/1040698994320662528 …""",,,,,,,,,,,,,
"2018-09-14 17:41;""Gothamites are the best fans in the world! We love Gotham so much", it helped showcase people’s talents," created friendships and even helped some with their mental health # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/MftDhQdYfT""",,,,,,,,,,,
"2018-09-14 17:34;""When you mess up your clown makeup and have to start all over # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/RTRcYOguGh""",,,,,,,,,,,,,
"2018-09-14 17:29;""We will continue to campaign to # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/Yc3wXMrEP9""",,,,,,,,,,,,,
"2018-09-14 17:23;""Next Thursday we’re watching 1x12 What the Little Bird Told Him. Join as we tweet along as we watch! # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/Osxwo3Nvkt""",,,,,,,,,,,,,
"2018-09-14 17:19;""Next Thursday we’re watching 1x12 What the Little Bird Told Him. Join as we tweet along as we watch! # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/dOFSnJl6tY""",,,,,,,,,,,,,
"2018-09-14 17:19;""# SaveColony @ netflix @ NetflixLifee @ reedhastings @ neilhunt @ tedsarandoss @ AmazonStudios @ jnsalke @ amazonprimenow @ PrimeVideo @ JeffBezos @ hulu @ hulu_support @ DEADLINE @ nerdist @ DenofGeekUS @ FilmDailyNewshttps://twitter.com/MagicTorch82/status/1040385704591806465 …""",,,,,,,,,,,,,
"2018-09-14 17:11;""Get your letter ready so they will be sent on time! # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/sQbkEvE5iB""",,,,,,,,,,,,,
"2018-09-14 17:10;""Why not take a few minutes after the power hour to request more seasons on @ Gotham on @ Netflix. We want a # GothamSeason6! # SaveGotham @ reedhastings @ warnerbrostv pic.twitter.com/SeD8uaXHTM""",,,,,,,,,,,,,
"2018-09-14 17:07;""Welcome to our second Gotham Power Hour! Let’s get tweeting about our love for the show! # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/0MbVnobOd2""",,,,,,,,,,,,,
"2018-09-14 16:21;""Yessss indeed!""",,,,,,,,,,,,,
"2018-09-14 16:15;""@ reedhastings Why we pay a lot more for a lot less in the Netherlands? # Netflixpic.twitter.com/DikyA6bOwX""",,,,,,,,,,,,,
"2018-09-14 16:10;""Reed Hastings in 2008 looking in the window of a closed Blockbuster store ... https://buff.ly/2xeL9sU pic.twitter.com/ex1iEvaWHu""",,,,,,,,,,,,,
"2018-09-14 16:00;""Thanks for tweeting with is this past hour"," we’ll be back in an hour for the US Power Hour! # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/ihjFJS3FuS""",,,,,,,,,,,,
"2018-09-14 15:57;""Make sure to ask your local mail carrier how long it would take for your letters to reach the address given in time for our target date # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/TCYB03I1tI""",,,,,,,,,,,,,
"2018-09-14 15:54;""Next Thursday join us as we rewatch 1x12 What the Little Bird Told Him and tweet along # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/mlNoAhyBO1""",,,,,,,,,,,,,
"2018-09-14 15:52;""Starting next week we’re doing a Thank You Gotham appreciation campaign using these temporary hashtags # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/b6ahccyRWw""",,,,,,,,,,,,,
"2018-09-14 15:50;""Who will Zsasz be working with in season 5? # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/pAanFdujpF""",,,,,,,,,,,,,
"2018-09-14 15:48;""# SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham https://twitter.com/bestgothamwomen/status/1040648192373735425 …""",,,,,,,,,,,,,
"2018-09-14 15:46;""Gotham has such great sets"," they’re just so visually pleasing # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/S3td6GlIsN""",,,,,,,,,,,,
"2018-09-14 15:43;""Stay positive Gothamites! We just need to keep showing what Gotham means to us all! # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/lEDOYTVmB3""",,,,,,,,,,,,,
"2018-09-14 15:39;""This is going to amazing # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham https://twitter.com/shanewest/status/1040657982386843654 …""",,,,,,,,,,,,,
"2018-09-14 15:35;""Alfred needs a female friend. With those dancing skills he should be surrounded by pretty ladies lol. Bruce takes up way too much of his personal time lol # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/mSwYvSGGZa""",,,,,,,,,,,,,
"2018-09-14 15:34;""@ FreeformTV @ Netflix @ Hulu @ ConstantinFilm @ NetflixUK @ NetflixLAT @ larrytanz @ reedhastings @ mmoszkowicz @ tascheim @ kareyburke @ lynnbarrieabc @ amazon @ AmazonStudios @ JeffBezos @ AppleTV @ CBC @ CBS @ MTV @ SonyCrackle @ SonyPictures @ berger710 @ OliverBerben # SAVESHADOWHUNTERS""",,,,,,,,,,,,,
"2018-09-14 15:31;""I miss season one Ed. # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/K3fiOa7UMd""",,,,,,,,,,,,,
"2018-09-14 15:29;""“It’s good you’re changing. Just don’t change too much.” Bruce clearly didn’t listen lol # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/1wBgyAt1D8""",,,,,,,,,,,,,
"2018-09-14 15:24;""Yes! I believe we can # SaveGotham # GothamSeason6 @ netflix @ reedhastings @ AmazonStudios @ TheDCUniverse @ hulu @ warnerbrostv @ Gotham pic.twitter.com/ZT0GLToVZQ""",,,,,,,,,,,,,
