id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20621335,Clean room Amsterdam. Metro 3min walk.Free parking,25403329,Victor,,Bijlmer-Oost,52.319172968245226,4.981150531499213,Private room,52,3,23,2017-11-28,6.83,1,12
16682109,Sunny and cozy room close to metro,33224022,Olmo & Diede,,Bijlmer-Oost,52.321739484272406,4.9785224199595,Private room,42,2,30,2017-11-27,2.77,1,151
14117599,"Pop B&B-private room,free parking,sauna,terraces",36070529,Adriana,,Bijlmer-Oost,52.321545713921346,4.960180647721977,Private room,70,1,22,2017-11-18,1.70,1,332
18093601,Tastefully furnished studio with breakfast&parking,34046945,Dhiraj,,Bijlmer-Oost,52.324379147181325,4.961670487952382,Private room,75,1,16,2017-09-17,2.06,1,0
7303459,Cozy room in the SE of Amsterdam,23023786,Robert,,Bijlmer-Oost,52.32100583630295,4.961115220537148,Private room,38,3,2,2016-07-23,0.12,2,125
5362748,Great room south of Amsterdam!,27800005,Edzo,,Bijlmer-Oost,52.32263415001058,4.960662732686624,Private room,45,2,22,2017-03-21,0.76,1,278
7046849,Lovely room in South East Amsterdam,36953379,Mark,,Bijlmer-Oost,52.32231416120611,4.9615935128732325,Private room,45,1,20,2017-03-26,0.72,1,0
21953623,spacious light appartment amsterdam zuid-oost,160266157,Charlotte,,Bijlmer-Oost,52.3192577461071,4.980998473907782,Private room,50,2,0,,,1,1
20041881,Amsterdam South Studio,3713043,Judith,,Bijlmer-Oost,52.32262403694802,4.979887688044928,Entire home/apt,68,8,0,,,2,0
3905287,B&B# green oasis with free parking,16567328,Thea,,Bijlmer-Oost,52.319784253576934,4.962587247424782,Private room,70,1,115,2017-11-26,2.88,1,332
12272272,King  bedroom near metro station,12308050,Oxana/ Dan,,Bijlmer-Oost,52.32333428485076,4.977622366092019,Private room,58,3,28,2017-11-03,1.41,2,84
4984654,Spacious room in a neat house,25691713,Mahaprabhu,,Bijlmer-Oost,52.31257675929142,4.981168473559881,Private room,28,1,6,2015-07-12,0.20,1,5
14884660,Wow! Laid back townhouse with terrace and garden,9015391,Elle,,Bijlmer-Oost,52.31797300183232,4.965312088359829,Entire home/apt,89,2,3,2017-10-01,0.22,2,13
20825413,Amsterdam thrive retreat,148205693,Basnau,,Bijlmer-Oost,52.325639130706875,4.980512909811964,Private room,59,1,10,2017-10-29,3.53,1,0
15442364,Large bedroom 15 min from Amsterdam city center,3844845,Sara,,Bijlmer-Oost,52.323159341567894,4.970870900421653,Private room,100,2,27,2017-11-02,3.72,1,19
2508498,Comfortable  room for 1 or 2 people,12839939,Astrid,,Bijlmer-Oost,52.32581789903912,4.980847480341428,Private room,60,1,17,2017-10-16,0.39,1,362
16753462,3 rooms in green environment,47499392,Inge,,Bijlmer-Oost,52.321837523195825,4.986285255341205,Private room,165,2,3,2017-10-23,1.53,6,146
15938312,Studio Amsterdam (55M2) - Bicycle included!,24314617,Jorim,,Bijlmer-Oost,52.32662709196725,4.967870471282879,Private room,49,10,2,2017-06-25,0.34,1,18
10860856,Nice room 15 min to city center. Free parking,56258088,Kofi,,Bijlmer-Oost,52.31781329483963,4.98580325507547,Private room,45,3,67,2017-11-24,3.03,2,181
9038396,Nice appartment / free parking,7697086,Melanie,,Bijlmer-Oost,52.323287388827,4.966810792092373,Entire home/apt,55,5,4,2017-10-12,0.16,1,72
18608619,Amsterdam Grubbhoeve,66206345,敏,,Bijlmer-Oost,52.323654790535606,4.97249178642664,Entire home/apt,150,2,9,2017-11-04,1.29,3,76
16557956,Nice Private Room double bed very close to metro,109033470,Enrico,,Bijlmer-Oost,52.32383605903236,4.962745099351978,Private room,40,1,70,2017-11-30,6.46,1,8
2024070,Artistic and spacious apartment,10400828,Cindy,,Bijlmer-Oost,52.32869920991156,4.9761592840225655,Entire home/apt,99,1,5,2017-11-19,0.10,1,348
2942229,An stylish room in a green area,1271678,Andrea,,Bijlmer-Oost,52.324548142399564,4.975968402539098,Private room,65,2,211,2017-11-13,4.85,1,226
13986172,Cosy House in quite Area,83473127,Malak,,Bijlmer-Oost,52.313327504957094,4.972282262821286,Entire home/apt,36,17,0,,,1,0
15753136,"Your second home in Amsterdam - visit ""The Pearl""!",101828420,Eric,,Bijlmer-Oost,52.322056956565675,4.981409644315861,Private room,69,1,30,2017-11-12,2.32,1,172
21551351,Cozy studio-room in Amsterdam,94368111,Kelvin,,Bijlmer-Oost,52.32384454819319,4.969678549671025,Private room,150,1,0,,,1,18
16669922,Spacious apartment 15 min from center by metro!,110272181,Fon,,Bijlmer-Oost,52.32225602522992,4.972499879158114,Entire home/apt,205,2,11,2017-07-05,1.43,1,0
20707129,Private studio,26696115,Nella,,Bijlmer-Oost,52.31742713023704,4.977965960907304,Private room,54,2,11,2017-11-26,3.63,1,28
21124926,Single room available in an apartment,86387254,Teo,,Bijlmer-Oost,52.31772438092574,4.970008970154305,Private room,50,3,2,2017-11-12,1.87,2,83
18668324,"big, clean, fun.",86387254,Teo,,Bijlmer-Oost,52.31787222148576,4.969596956459469,Entire home/apt,150,2,9,2017-11-26,1.40,2,0
15718431,"Private room, less than 20mins to center by metro",11046682,Lena,,Bijlmer-Oost,52.32300470703711,4.976624503664845,Private room,30,1,21,2017-11-03,1.75,2,69
12289041,Cozy room in a quiet neighborhood,12308050,Oxana/ Dan,,Bijlmer-Oost,52.32270162157053,4.974105041813798,Private room,55,3,20,2017-11-26,1.02,2,83
19669832,Modern and Cozy appartement,90011098,Jardin,,Bijlmer-Oost,52.318361271249614,4.981593230133783,Entire home/apt,105,2,1,2017-09-20,0.39,2,86
7131573,"Bright room, green park, arty flat!",30039084,Christiaan,,Bijlmer-Oost,52.32466336358793,4.9744728650035555,Private room,50,1,84,2017-07-23,2.85,1,0
14545235,Modern easy apartment,90011098,Jardin,,Bijlmer-Oost,52.319042988176314,4.981509379710169,Entire home/apt,114,3,12,2017-10-01,0.84,2,359
21908927,Affordable room for two just 20 min from Centrum,147887892,Bolo,,Bijlmer-Oost,52.31996027530138,4.96886928756335,Private room,25,1,1,2017-11-27,1,1,304
17446031,"Private apartment, 20mins to Ams Centre by metro",11046682,Lena,,Bijlmer-Oost,52.32124796006184,4.978588037114794,Entire home/apt,142,2,16,2017-11-19,2.47,2,216
16219344,Wonderful double room facing Canal3,65918622,Sol &,,Bijlmer-Oost,52.31795349825292,4.980711750364706,Private room,59,1,91,2017-11-01,7.60,1,66
21395798,Spaceous and Cousy Villa by the water,14127351,Madelon,,Bijlmer-Oost,52.33055745392554,4.979718134676286,Entire home/apt,215,5,0,,,1,0
13993768,Spacious appartement near metro,46062643,Jeff,,Bijlmer-Oost,52.31943127407978,4.97826136140649,Entire home/apt,74,3,22,2017-10-01,1.31,1,0
14234823,Double Room in Amsterdam-Zuidoost,41892895,Dennis,,Bijlmer-Oost,52.31759716171239,4.971373997601928,Private room,46,2,27,2017-10-26,1.66,1,15
16333022,2 double beds in seperate rooms with a nice view,47499392,Inge,,Bijlmer-Oost,52.322438369631044,4.9869548058092645,Private room,90,2,1,2017-10-31,0.83,6,159
3522143,Quiet summer apartment,17736293,Eefje,,Bijlmer-Oost,52.324584742919754,4.978723905390833,Entire home/apt,50,3,3,2015-08-04,0.10,1,0
10907707,Lovely room 15 min to city center. Free parking,56258088,Kofi,,Bijlmer-Oost,52.31760099667676,4.985381723329465,Private room,40,3,106,2017-11-26,4.80,2,127
